"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2011","18,469.36","18,558.33","18,604.36","18,339.53","12.99K","-0.35%"
"May 03, 2011","18,534.69","18,979.31","19,024.95","18,502.42","13.37K","-2.44%"
"May 02, 2011","18,998.02","19,224.05","19,253.87","18,954.76","9.43K","-0.72%"
"Apr 29, 2011","19,135.96","19,292.57","19,356.50","19,015.05","10.61K","-0.81%"
"Apr 28, 2011","19,292.02","19,532.85","19,542.05","19,265.92","13.91K","-0.81%"
"Apr 27, 2011","19,448.69","19,610.71","19,633.63","19,412.79","13.36K","-0.49%"
"Apr 26, 2011","19,545.35","19,596.32","19,626.13","19,306.92","11.58K","-0.20%"
"Apr 25, 2011","19,584.31","19,538.52","19,697.49","19,531.34","11.42K","-0.09%"
"Apr 21, 2011","19,602.23","19,582.50","19,695.98","19,530.50","15.12K","0.67%"
"Apr 20, 2011","19,470.98","19,274.21","19,484.77","19,171.03","15.39K","1.83%"
"Apr 19, 2011","19,121.83","19,091.78","19,201.92","18,976.19","11.31K","0.16%"
"Apr 18, 2011","19,091.17","19,389.74","19,649.22","19,071.47","13.77K","-1.53%"
"Apr 15, 2011","19,386.82","19,670.07","19,700.96","19,337.12","17.08K","-1.57%"
"Apr 13, 2011","19,696.86","19,187.01","19,737.33","19,101.63","17.84K","2.25%"
"Apr 11, 2011","19,262.54","19,382.91","19,426.30","19,242.59","9.44K","-0.97%"
"Apr 08, 2011","19,451.45","19,602.81","19,697.21","19,388.42","10.44K","-0.71%"
"Apr 07, 2011","19,591.18","19,620.88","19,665.09","19,537.02","9.62K","-0.11%"
"Apr 06, 2011","19,612.20","19,698.61","19,811.14","19,550.55","14.37K","-0.38%"
"Apr 05, 2011","19,686.82","19,731.38","19,770.21","19,523.54","12.65K","-0.08%"
"Apr 04, 2011","19,701.73","19,473.93","19,729.60","19,449.36","10.66K","1.45%"
"Apr 01, 2011","19,420.39","19,463.11","19,562.55","19,382.35","12.46K","-0.13%"
"Mar 31, 2011","19,445.22","19,339.75","19,575.16","19,284.35","16.18K","0.80%"
"Mar 30, 2011","19,290.18","19,178.77","19,357.10","19,178.77","12.18K","0.89%"
"Mar 29, 2011","19,120.80","18,949.57","19,226.21","18,944.82","17.27K","0.94%"
"Mar 28, 2011","18,943.14","18,799.71","19,024.18","18,799.57","12.86K","0.68%"
"Mar 25, 2011","18,815.64","18,480.69","18,858.30","18,480.69","15.26K","2.53%"
