Date,Open,High,Low,Close,Adj Close,Volume
2007-03-23,265.000000,266.875000,260.125000,261.575012,75.812958,10877280
2007-03-26,263.125000,263.125000,255.024994,257.269012,74.564919,15948600
2007-03-28,253.750000,253.750000,248.500000,249.005997,72.170036,21473904
2007-03-29,245.238007,253.625000,244.886993,248.837006,72.121056,25927192
2007-03-30,249.375000,253.712006,249.375000,252.330994,73.133736,14493552
2007-04-02,250.000000,250.000000,239.000000,240.369003,69.666740,14738880
2007-04-03,240.625000,246.811996,238.750000,245.580994,71.177345,17553760
2007-04-04,247.500000,249.981003,243.774994,249.287994,72.251762,12089584
2007-04-05,248.750000,249.988007,243.205994,249.037994,72.179306,6129800
2007-04-09,245.000000,256.750000,245.000000,255.944000,74.180916,6112144
2007-04-10,256.250000,258.000000,247.636993,249.856003,72.416374,11851632
2007-04-11,250.625000,254.875000,248.468994,249.531006,72.322189,12324768
2007-04-12,248.625000,256.987000,245.000000,255.731003,74.119148,18025880
2007-04-13,262.500000,266.500000,253.294006,260.862000,75.606293,37096144
2007-04-16,268.750000,269.500000,260.875000,266.087006,77.120667,13423280
2007-04-17,263.750000,266.000000,258.256012,260.343994,75.456169,13779368
2007-04-18,260.812012,262.337006,257.899994,259.537994,75.222557,9491616
2007-04-19,256.269012,257.174988,253.156006,254.988007,73.903809,12689648
2007-04-20,261.850006,261.850006,256.144012,256.888000,74.454498,7901224
2007-04-23,259.968994,259.968994,257.519012,258.656006,74.966927,6204520
2007-04-24,253.188004,259.225006,253.125000,257.237000,74.555649,10435904
2007-04-25,255.750000,256.250000,251.500000,252.311996,73.128227,11769504
2007-04-26,254.375000,256.237000,251.000000,252.356003,73.140976,11592024
2007-04-27,253.750000,254.337006,248.875000,250.643997,72.644768,13179936
2007-04-30,250.625000,257.500000,250.625000,256.355988,74.300293,7900544
2007-05-03,257.125000,261.656006,257.125000,260.205994,75.416161,8526624
2007-05-04,260.037994,261.250000,256.519012,258.987000,75.062851,7354320
2007-05-07,259.000000,259.375000,254.438004,255.231003,73.974258,7725136
2007-05-08,253.750000,254.375000,249.393997,250.281006,72.539558,11778832
2007-05-09,250.250000,250.811996,246.875000,247.574997,71.755272,11830928
2007-05-10,251.125000,251.837006,246.250000,246.774994,71.523415,12493392
2007-05-11,246.250000,252.500000,243.875000,250.074997,72.479858,12702344
2007-05-14,252.250000,252.962006,247.830994,250.238007,72.527107,7335704
2007-05-15,249.875000,250.000000,246.000000,246.681000,71.496185,8705704
2007-05-16,246.625000,247.750000,242.000000,243.962006,70.708130,15668240
2007-05-17,245.000000,248.625000,245.000000,247.938004,71.860497,17139072
2007-05-18,247.375000,250.738007,246.000000,247.738007,71.802528,9588872
2007-05-21,248.255997,249.000000,243.781006,245.050003,71.023476,13263216
2007-05-22,243.761993,245.113007,241.375000,243.343994,70.529007,19028016
2007-05-23,243.750000,244.250000,240.011993,240.718994,69.768188,10531456
2007-05-24,240.625000,243.738007,239.750000,242.125000,70.175690,19166928
2007-05-25,243.750000,249.000000,238.125000,248.188004,71.932961,17904664
2007-05-28,244.455994,251.712006,244.455994,246.444000,71.427490,13356216
2007-05-29,246.875000,246.875000,243.162994,244.212006,70.780579,6663480
2007-05-30,243.125000,244.968994,237.625000,238.268997,69.058098,20476856
2007-05-31,240.000000,242.386993,238.750000,240.438004,69.686760,13968520
2007-06-01,241.625000,243.738007,241.500000,242.319000,70.231941,7742200
2007-06-04,243.750000,246.087006,238.600006,239.537994,69.425888,9405184
2007-06-05,240.000000,243.750000,238.500000,242.899994,70.400314,14302728
2007-06-06,246.750000,246.750000,241.250000,242.294006,72.155579,16488016
2007-06-07,230.856003,246.500000,230.856003,244.643997,72.855392,13315048
2007-06-08,243.738007,246.875000,238.938004,243.856003,72.620720,20947712
2007-06-11,246.750000,249.500000,246.250000,247.475006,73.698479,18446208
2007-06-12,245.250000,249.863007,245.250000,248.688004,74.059692,9489648
2007-06-13,214.375000,249.875000,214.375000,248.593994,74.031708,6143208
2007-06-14,249.375000,253.875000,249.375000,252.399994,75.165138,15894848
2007-06-15,253.750000,254.750000,250.000000,251.175003,74.800339,8519312
2007-06-18,253.125000,253.625000,248.194000,248.681000,74.057632,9880776
2007-06-19,248.750000,248.856003,242.750000,244.574997,72.834839,14005784
2007-06-20,245.750000,246.750000,243.768997,244.274994,72.745499,6835384
2007-06-21,244.250000,245.750000,241.899994,244.806000,72.903641,6758680
2007-06-22,245.587006,245.587006,241.875000,243.850006,72.618942,6673960
2007-06-25,243.850006,245.363007,239.875000,242.080994,72.092133,5557352
2007-06-26,241.250000,243.500000,240.000000,240.268997,71.552521,6085936
2007-06-27,241.375000,243.281006,241.000000,241.919006,72.043884,5488248
2007-06-28,242.500000,243.449997,239.136993,240.630997,71.660309,8399232
2007-06-29,243.750000,246.250000,240.000000,241.130997,71.809235,13776528
2007-07-02,243.000000,244.363007,241.125000,242.981003,72.360153,9189768
2007-07-03,243.750000,244.130997,241.912994,243.425003,72.492386,5633960
2007-07-04,245.125000,245.125000,240.250000,241.380997,71.883690,5838480
2007-07-05,241.393997,242.500000,238.750000,239.600006,71.353294,7673904
2007-07-06,230.837006,247.087006,230.837006,246.475006,73.400673,17535640
2007-07-09,248.625000,251.175003,248.294006,249.218994,74.217834,14444344
2007-07-10,249.375000,255.244003,249.375000,252.561996,75.213371,17479504
2007-07-11,250.000000,250.000000,240.625000,241.205994,71.831558,37621888
2007-07-12,243.750000,244.962006,239.375000,240.274994,71.554306,31228624
2007-07-13,241.518997,244.800003,240.255997,242.475006,72.209457,26942344
2007-07-16,243.125000,244.375000,241.000000,241.981003,72.062355,13679896
2007-07-17,242.500000,244.837006,241.750000,242.319000,72.163017,8854256
2007-07-18,242.636993,244.311996,241.899994,243.069000,72.386360,6772224
2007-07-19,243.500000,250.000000,243.250000,249.561996,74.320000,16677152
2007-07-20,250.000000,252.375000,246.319000,248.281006,73.938499,13050288
2007-07-23,246.761993,247.988007,241.399994,243.475006,72.507271,15034016
2007-07-24,243.475006,247.488007,242.569000,246.886993,73.523354,8892384
2007-07-25,247.000000,251.250000,243.125000,248.606003,74.035301,11647192
2007-07-26,249.750000,256.250000,249.375000,254.294006,75.729172,22691384
2007-07-27,250.125000,251.875000,245.205994,250.981003,74.742569,13866488
2007-07-30,250.981003,251.250000,245.794006,248.300003,73.944153,5598216
2007-07-31,248.750000,254.375000,244.406006,246.975006,73.549568,7234104
2007-08-01,248.500000,248.500000,240.375000,241.188004,71.826180,11838920
2007-08-02,243.750000,243.750000,236.561996,237.399994,70.698128,11826664
2007-08-03,237.625000,240.425003,237.250000,239.580994,71.347626,6699184
2007-08-06,242.475006,242.475006,232.544006,233.162994,69.436325,9018400
2007-08-07,234.375000,237.500000,232.886993,234.806000,69.925621,11022904
2007-08-08,236.250000,249.750000,236.250000,245.906006,73.231201,24515808
